epoch,accuracy,loss,val_accuracy,val_loss
0,0.998300791,0.006095729,0.967289746,0.188482568
1,0.996601522,0.010374413,0.976635516,0.142154828
2,0.994902313,0.012604381,0.976635516,0.121707343
3,0.995539486,0.012656942,0.975300372,0.11797411
4,0.996389151,0.010361612,0.971962631,0.172995031
5,0.995539486,0.015846472,0.964619517,0.195849925
6,0.995539486,0.011031906,0.971962631,0.189204842
7,0.997026324,0.010437466,0.967289746,0.182042226
8,0.99808836,0.005415787,0.948598146,0.270163983
9,0.997451127,0.009539575,0.94659549,0.266061425
